,state,vet_pop_2008,overall_pop_18_2008,vet_pop_p_2008,vet_suicides_2008,all_suicides_2008,vet_suicides_p_2008,vet_males,vet_males_p,vet_females,vet_females_p,vet_15_24,vet_18_29,vet_17_34,vet_25_34,vet_30_39,vet_25_44,vet_35_44,vet_40_49,vet_35-54,vet_45_54,vet_50_59,vet_45_64,vet_55_64,vet_60,vet_65,vet_rate,civ_rate
27,Nevada,227277,1922260,0.118234266,131,528,0.248106061,,0,,0,5,,,4,,,9,,,23,,,37,,53,57.63891639,23.42206382
28,New Hampshire,121145,1021327,0.118615292,36,179,0.201117318,35,0.972222222,1,0.027777778,,,,,,,,,,,,,,,,29.71645549,15.88567645
29,New Jersey,485053,6623050,0.073237104,77,615,0.125203252,75,0.974025974,2,0.025974026,1,,,2,,,12,,,14,,,15,,33,15.87455391,8.765074339
30,New Mexico,171725,1473640,0.116531175,80,419,0.190930788,76,0.95,4,0.05,3,,,4,,,10,,,20,,,9,,34,46.58611152,26.03856627
31,New York,1032622,15051925,0.068603983,224,1409,0.158977999,220,0.982142857,4,0.017857143,2,,,,,,7,,,6,,,54,,155,21.69235209,8.452631347
32,North Carolina,746259,6879572,0.108474626,238,1162,0.204819277,232,0.974789916,6,0.025210084,11,,,16,,,27,,,52,,,46,,86,31.89241269,15.06526734
33,North Dakota**,54688,493281,0.110865815,14,86,0.162790698,13,0.928571429,1,0.071428571,0,,,0,,,0,,,3,,,5,,5,25.59976594,16.41613067
34,Ohio,926863,8740001,0.106048386,264,1412,0.186968839,259,0.981060606,5,0.018939394,5,,,15,,,32,,,52,,,63,,97,28.48317389,14.69320009
35,Oklahoma,316987,2713979,0.116797882,145,575,0.252173913,,0,,0,6,,,11,,,22,,,23,,,24,,55,45.74320083,17.9391504
36,Oregon,349013,2919847,0.119531263,140,572,0.244755245,136,0.971428571,4,0.028571429,4,,,8,,,19,,,22,,,36,,51,40.113119,16.80388543
37,Pennsylvania,1023082,9671561,0.10578251,333,1539,0.216374269,330,0.990990991,3,0.009009009,5,,,20,,,43,,,61,,,73,,131,32.54871066,13.94464853
38,Rhode Island,82464,815584,0.10111037,16,110,0.145454545,,0,,0,,,,,,,,,,,,,,,,19.4024059,12.82191183
39,South Carolina,391275,3375008,0.115933059,137,565,0.242477876,131,0.95620438,6,0.04379562,9,,,5,,,11,,,20,,,42,,50,35.01373714,14.34444704
40,South Dakota,70852,601688,0.117755382,20,124,0.161290323,,0,,0,,,,,,,,,,,,,,,,28.22785525,19.59173831
41,Tennessee,503323,4720255,0.106630468,176,973,0.180883864,173,0.982954545,3,0.017045455,5,,,11,,,16,,,40,,,50,,54,34.9676053,18.89999649
42,Texas,1603981,17493335,0.091690978,454,2552,0.177899687,445,0.980176211,9,0.019823789,,41,,,38,,,74,,,76,,,225,,28.30457468,13.20380929
43,Utah,146547,1875269,0.078147188,55,390,0.141025641,55,1,0,0,5,,,6,,,5,,,11,,,16,,12,37.53062158,19.37847728
44,Vermont,53175,491776,0.108128498,15,94,0.159574468,14,0.933333333,1,0.066666667,0,,,0,,,1,,,3,,,6,,5,28.20874471,18.01181484
45,Virginia,720855,5812063,0.124027389,203,948,0.214135021,194,0.955665025,9,0.044334975,6,,,12,,,20,,,35,,,33,,87,28.16100325,14.6330694
46,Washington,606459,4942947,0.122691787,238,889,0.267716535,232,0.974789916,6,0.025210084,11,,,16,,,27,,,52,,,46,,86,39.24420282,15.01214808
47,West Virginia,171744,1426761,0.120373349,58,261,0.222222222,56,0.965517241,2,0.034482759,4,,,3,,,9,,,7,,,12,,23,33.77119434,16.1750797
48,Wisconsin,438533,4310254,0.1017418,131,743,0.176312248,,0,,0,0,,,6,,,17,,,24,,,45,,39,29.87232432,15.8069241
49,Wyoming,50704,401718,0.126217894,30,124,0.241935484,,0,,0,,,,,,,,,,,,,,,,59.16692963,26.77955865
