,state,vet_pop_2005,overall_pop_18_2005,vet_pop_p_2005,vet_suicides_2005,all_suicides_2005,vet_suicides_p_2005,vet_pop_2006,overall_pop_18_2006,vet_pop_p_2006,vet_suicides_2006,all_suicides_2006,vet_suicides_p_2006,vet_pop_2007,overall_pop_18_2007,vet_pop_p_2007,vet_suicides_2007,all_suicides_2007,vet_suicides_p_2007,vet_pop_2008,overall_pop_18_2008,vet_pop_p_2008,vet_suicides_2008,all_suicides_2008,vet_suicides_p_2008,vet_pop_2009,overall_pop_18_2009,vet_pop_p_2009,vet_suicides_2009,all_suicides_2009,vet_suicides_p_2009,vet_pop_2010,overall_pop_18_2010,vet_pop_p_2010,vet_suicides_2010,all_suicides_2010,vet_suicides_p_2010,vet_pop_2011,overall_pop_18_2011,vet_pop_p_2011,vet_suicides_2011,all_suicides_2011,vet_suicides_p_2011
33,North Dakota**,58479,470198,0.12437100965976,24,92,0.260869565217391,57536,487103,0.118118755170878,18,90,0.2,55232,491391,0.112399290992306,27,95,0.28421052631579,54688,493281,0.110865814819545,14,86,0.162790697674419,52159,498949,0.104537738325961,14,90,0.155555555555556,52076,519829,0.100179097357015,24,106,0.226415094339623,55556,527822,0.105255180723805,25,104,0.240384615384615
34,Ohio,982418,8390951,0.117080650333913,282,1341,0.210290827740492,961616,8696516,0.110574855493855,251,1325,0.18943396226415105,953338,8703442,0.10953574459392,275,1295,0.212355212355212,926863,8740001,0.106048386035654,264,1412,0.186968838526912,897333,8813009,0.10181914031859,243,1176,0.206632653061224,892782,8803836,0.10140829520222802,268,1439,0.18624044475330104,876163,8842889,0.099081080854911,270,1274,0.21193092621664006
35,Oklahoma,341464,2572747,0.132723505264995,109,522,0.208812260536398,333358,2668872,0.124905952777053,113,537,0.210428305400372,325423,2694837,0.12075795307842402,112,531,0.210922787193974,316987,2713979,0.116797882371234,145,575,0.252173913043478,313711,2741064,0.11444862287053502,122,567,0.215167548500882,323461,2810612,0.115085611247657,131,618,0.211974110032362,319724,2837898,0.112662259179153,141,637,0.221350078492936
36,Oregon,350365,2709927,0.129289460564805,154,560,0.275,350730,2839640,0.1235121353411,143,579,0.246977547495682,348422,2881297,0.120925402691913,157,594,0.264309764309764,349013,2919847,0.119531263110704,140,572,0.244755244755245,343557,2948094,0.116535293650745,145,644,0.225155279503106,331584,2969208,0.111674224237574,151,685,0.22043795620438006,319194,3007303,0.10613962078314,150,683,0.219619326500732
37,Pennsylvania,1088379,9169767,0.118692110715572,336,1430,0.234965034965035,1073558,9625288,0.11153515614286,309,1396,0.22134670487106,1044143,9636871,0.108348757599848,324,1441,0.224843858431645,1023082,9671561,0.105782510186308,333,1539,0.216374269005848,988006,9817894,0.100633190784093,292,1631,0.179031269160024,981646,9917938,0.098976823609908,285,1576,0.18083756345177696,954659,9976032,0.095695262404932,285,1574,0.18106734434561605
38,Rhode Island,88971,785844,0.113217127063387,15,71,0.211267605633803,82129,827561,0.099242231086288,21,90,0.23333333333333306,80703,820384,0.09837222568943302,16,96,0.166666666666667,82464,815584,0.101110369992545,16,110,0.14545454545454506,75328,822465,0.091588091894488,22,118,0.186440677966102,72835,825652,0.088215131798869,20,129,0.155038759689922,71863,829243,0.08666096668889599,18,127,0.14173228346456698
39,South Carolina,400152,3077479,0.13002590756915,96,510,0.188235294117647,398128,3252620,0.122402248033893,118,524,0.22519083969465606,396961,3316277,0.119700797008211,123,530,0.23207547169811304,391275,3375008,0.115933058529046,137,565,0.242477876106195,385544,3441651,0.112022979668769,143,619,0.231017770597738,409008,3521443,0.11614784053014597,132,637,0.20722135007849304,398985,3563610,0.111960904812816,158,645,0.244961240310078
40,South Dakota,67985,557930,0.121852203681465,29,121,0.239669421487603,73535,585507,0.12559200829366698,26,125,0.208,75167,597885,0.12572150162656698,21,102,0.20588235294117604,70852,601688,0.117755381526638,20,124,0.161290322580645,68313,609906,0.112005784497939,33,129,0.255813953488372,69780,610858,0.114232767680869,21,140,0.15,70027,618454,0.113229116474305,25,123,0.203252032520325
41,Tennessee,509881,4412551,0.11555243214186098,183,856,0.213785046728972,502295,4578718,0.109702104388172,150,874,0.17162471395881002,510068,4669784,0.10922732186328098,182,844,0.21563981042654,503323,4720255,0.10663046805734,176,973,0.180883864337102,502280,4782812,0.10501771761047697,196,947,0.206969376979937,487899,4846847,0.100663173399119,155,943,0.164369034994698,486407,4896267,0.099342417396764,190,941,0.20191285866099895
42,Texas,1612948,15899260,0.101447991919121,509,2418,0.21050454921422695,1660455,16924145,0.09811160327449303,454,2347,0.193438432040903,1613252,17190551,0.093845275814603,434,2433,0.178380600082203,1603981,17493335,0.091690978306881,454,2552,0.17789968652037602,1581873,17785992,0.08893926186405599,492,2809,0.175151299394802,1609732,18268116,0.088117023123786,535,2891,0.18505707367692806,1593072,18617868,0.08556683289407803,527,2889,0.182416060920734
43,Utah,143301,1683956,0.085097829159432,49,348,0.14080459770114906,154774,1753636,0.08825890891838399,63,362,0.174033149171271,155573,1821224,0.085422221538921,68,378,0.17989417989418,146547,1875269,0.07814718848335901,55,390,0.141025641025641,149221,1906017,0.078289438131979,79,449,0.17594654788418698,152839,1898882,0.080488940334365,75,473,0.158562367864693,146806,1930847,0.076031917598857,71,468,0.15170940170940198
44,Vermont,57633,469021,0.122879359346383,10,78,0.12820512820512805,55512,489177,0.113480396666237,16,81,0.19753086419753105,55351,489141,0.11315960019708,19,89,0.213483146067416,53175,491776,0.10812849752733,15,94,0.159574468085106,51899,494457,0.104961604345777,7,87,0.080459770114942,48498,495796,0.097818457591429,15,106,0.141509433962264,51373,499809,0.102785263970837,18,124,0.145161290322581
45,Virginia,757224,5442170,0.139140085664358,206,866,0.237875288683603,771782,5732436,0.134634211354475,178,876,0.203196347031963,757595,5779184,0.131090306174713,178,880,0.202272727272727,720855,5812063,0.124027389241995,203,948,0.214135021097046,728528,5913691,0.123193450587797,198,963,0.205607476635514,742131,6056442,0.122535805676006,188,963,0.19522326064382106,734757,6137315,0.119719616803113,197,981,0.200815494393476
46,Washington,628595,4633815,0.135653883463194,225,822,0.273722627737226,629296,4827071,0.130368084496789,200,809,0.24721878862793606,622263,4888868,0.127281612021433,229,865,0.264739884393064,606459,4942947,0.12269178690364302,238,889,0.26771653543307106,585202,5035212,0.116221918759329,249,921,0.270358306188925,592322,5112364,0.115860685976194,222,957,0.231974921630094,597778,5194460,0.115079912060156,207,955,0.216753926701571
47,West Virginia,175697,1389726,0.126425640737815,73,255,0.286274509803922,178121,1426759,0.124843088426286,56,269,0.20817843866171,171036,1423318,0.120167102502744,67,300,0.22333333333333305,171744,1426761,0.12037334914537197,58,261,0.222222222222222,156260,1433007,0.10904343105093,66,253,0.260869565217391,163476,1465012,0.111586799289016,72,279,0.258064516129032,155581,1467977,0.105983268130223,70,277,0.252707581227437
48,Wisconsin,444679,4080095,0.108987413283269,136,643,0.21150855365474305,447851,4237883,0.10567800007692503,138,670,0.20597014925373106,450802,4277566,0.105387503080023,128,729,0.17558299039780498,438533,4310254,0.101741799903208,131,743,0.17631224764468398,430296,4343001,0.099078033829603,134,724,0.18508287292817704,420641,4351489,0.09666599180188698,169,793,0.21311475409836106,413735,4383985,0.094374182393416,167,791,0.21112515802781304
49,Wyoming,55519,379651,0.146236938662087,17,90,0.188888888888889,54263,390268,0.139040351758279,22,116,0.18965517241379296,51494,393326,0.130919390022526,27,101,0.267326732673267,50704,401718,0.126217894144649,30,124,0.241935483870968,51008,410174,0.124356980208399,18,111,0.162162162162162,52337,425022,0.123139508072523,29,131,0.22137404580152695,52415,430554,0.121738504345564,30,132,0.22727272727272704
