,state,vet_pop_2005,overall_pop_18_2005,vet_pop_p_2005,vet_suicides_2005,all_suicides_2005,vet_suicides_p_2005,vet_pop_2006,overall_pop_18_2006,vet_pop_p_2006,vet_suicides_2006,all_suicides_2006,vet_suicides_p_2006,vet_pop_2007,overall_pop_18_2007,vet_pop_p_2007,vet_suicides_2007,all_suicides_2007,vet_suicides_p_2007,vet_pop_2008,overall_pop_18_2008,vet_pop_p_2008,vet_suicides_2008,all_suicides_2008,vet_suicides_p_2008,vet_pop_2009,overall_pop_18_2009,vet_pop_p_2009,vet_suicides_2009,all_suicides_2009,vet_suicides_p_2009,vet_pop_2010,overall_pop_18_2010,vet_pop_p_2010,vet_suicides_2010,all_suicides_2010,vet_suicides_p_2010,vet_pop_2011,overall_pop_18_2011,vet_pop_p_2011,vet_suicides_2011,all_suicides_2011,vet_suicides_p_2011
33,North Dakota**,58479,470198,0.12437101,24,92,0.260869565,57536,487103,0.118118755,18,90,0.2,55232,491391,0.112399291,27,95,0.284210526,54688,493281,0.110865815,14,86,0.162790698,52159,498949,0.104537738,14,90,0.15555555599999998,52076,519829,0.100179097,24,106,0.22641509399999998,55556,527822,0.105255181,25,104,0.240384615
34,Ohio,982418,8390951,0.11708065,282,1341,0.210290828,961616,8696516,0.110574855,251,1325,0.18943396199999998,953338,8703442,0.109535745,275,1295,0.212355212,926863,8740001,0.106048386,264,1412,0.186968839,897333,8813009,0.10181914,243,1176,0.206632653,892782,8803836,0.101408295,268,1439,0.186240445,876163,8842889,0.099081081,270,1274,0.21193092600000002
35,Oklahoma,341464,2572747,0.132723505,109,522,0.20881226100000003,333358,2668872,0.12490595300000001,113,537,0.210428305,325423,2694837,0.120757953,112,531,0.210922787,316987,2713979,0.11679788199999999,145,575,0.252173913,313711,2741064,0.11444862300000001,122,567,0.21516754899999999,323461,2810612,0.11508561099999999,131,618,0.21197411,319724,2837898,0.112662259,141,637,0.221350078
36,Oregon,350365,2709927,0.129289461,154,560,0.275,350730,2839640,0.123512135,143,579,0.246977547,348422,2881297,0.120925403,157,594,0.264309764,349013,2919847,0.11953126300000001,140,572,0.244755245,343557,2948094,0.116535294,145,644,0.22515528,331584,2969208,0.111674224,151,685,0.22043795600000002,319194,3007303,0.10613962099999999,150,683,0.219619327
37,Pennsylvania,1088379,9169767,0.118692111,336,1430,0.234965035,1073558,9625288,0.111535156,309,1396,0.221346705,1044143,9636871,0.108348758,324,1441,0.224843858,1023082,9671561,0.10578251,333,1539,0.21637426899999998,988006,9817894,0.100633191,292,1631,0.179031269,981646,9917938,0.098976824,285,1576,0.180837563,954659,9976032,0.09569526199999999,285,1574,0.181067344
38,Rhode Island,88971,785844,0.11321712699999999,15,71,0.21126760600000002,82129,827561,0.099242231,21,90,0.233333333,80703,820384,0.098372226,16,96,0.166666667,82464,815584,0.10111037,16,110,0.145454545,75328,822465,0.091588092,22,118,0.186440678,72835,825652,0.08821513199999999,20,129,0.15503876,71863,829243,0.08666096699999999,18,127,0.14173228300000001
39,South Carolina,400152,3077479,0.130025908,96,510,0.188235294,398128,3252620,0.122402248,118,524,0.22519084,396961,3316277,0.119700797,123,530,0.232075472,391275,3375008,0.115933059,137,565,0.242477876,385544,3441651,0.11202298,143,619,0.231017771,409008,3521443,0.116147841,132,637,0.20722135,398985,3563610,0.111960905,158,645,0.24496124
40,South Dakota,67985,557930,0.121852204,29,121,0.23966942100000002,73535,585507,0.125592008,26,125,0.20800000000000002,75167,597885,0.12572150199999998,21,102,0.20588235300000002,70852,601688,0.11775538199999999,20,124,0.161290323,68313,609906,0.112005784,33,129,0.255813953,69780,610858,0.11423276800000001,21,140,0.15,70027,618454,0.11322911599999999,25,123,0.203252033
41,Tennessee,509881,4412551,0.115552432,183,856,0.213785047,502295,4578718,0.10970210400000001,150,874,0.17162471399999998,510068,4669784,0.10922732199999999,182,844,0.21563981,503323,4720255,0.106630468,176,973,0.18088386399999998,502280,4782812,0.10501771800000001,196,947,0.20696937699999998,487899,4846847,0.10066317300000001,155,943,0.164369035,486407,4896267,0.09934241699999999,190,941,0.20191285899999997
42,Texas,1612948,15899260,0.10144799199999999,509,2418,0.21050454899999999,1660455,16924145,0.098111603,454,2347,0.193438432,1613252,17190551,0.09384527599999999,434,2433,0.1783806,1603981,17493335,0.091690978,454,2552,0.177899687,1581873,17785992,0.08893926199999999,492,2809,0.17515129899999998,1609732,18268116,0.088117023,535,2891,0.185057074,1593072,18617868,0.08556683300000001,527,2889,0.18241606100000002
43,Utah,143301,1683956,0.085097829,49,348,0.140804598,154774,1753636,0.08825890900000001,63,362,0.174033149,155573,1821224,0.08542222199999999,68,378,0.17989418,146547,1875269,0.07814718799999999,55,390,0.141025641,149221,1906017,0.078289438,79,449,0.175946548,152839,1898882,0.08048894,75,473,0.158562368,146806,1930847,0.076031918,71,468,0.151709402
44,Vermont,57633,469021,0.12287935900000001,10,78,0.128205128,55512,489177,0.113480397,16,81,0.19753086399999997,55351,489141,0.1131596,19,89,0.213483146,53175,491776,0.108128498,15,94,0.159574468,51899,494457,0.104961604,7,87,0.08045977,48498,495796,0.09781845800000001,15,106,0.14150943400000002,51373,499809,0.102785264,18,124,0.14516129
45,Virginia,757224,5442170,0.139140086,206,866,0.237875289,771782,5732436,0.134634211,178,876,0.203196347,757595,5779184,0.131090306,178,880,0.20227272699999999,720855,5812063,0.124027389,203,948,0.214135021,728528,5913691,0.123193451,198,963,0.20560747699999998,742131,6056442,0.122535806,188,963,0.195223261,734757,6137315,0.11971961699999999,197,981,0.20081549399999998
46,Washington,628595,4633815,0.135653883,225,822,0.273722628,629296,4827071,0.130368084,200,809,0.247218789,622263,4888868,0.127281612,229,865,0.264739884,606459,4942947,0.122691787,238,889,0.267716535,585202,5035212,0.116221919,249,921,0.270358306,592322,5112364,0.11586068599999999,222,957,0.231974922,597778,5194460,0.11507991199999999,207,955,0.21675392699999999
47,West Virginia,175697,1389726,0.126425641,73,255,0.28627451,178121,1426759,0.124843088,56,269,0.208178439,171036,1423318,0.12016710300000001,67,300,0.223333333,171744,1426761,0.120373349,58,261,0.222222222,156260,1433007,0.109043431,66,253,0.260869565,163476,1465012,0.111586799,72,279,0.258064516,155581,1467977,0.105983268,70,277,0.252707581
48,Wisconsin,444679,4080095,0.108987413,136,643,0.211508554,447851,4237883,0.105678,138,670,0.205970149,450802,4277566,0.10538750300000001,128,729,0.17558299,438533,4310254,0.10174180000000001,131,743,0.176312248,430296,4343001,0.09907803400000001,134,724,0.185082873,420641,4351489,0.09666599199999999,169,793,0.213114754,413735,4383985,0.09437418199999999,167,791,0.211125158
49,Wyoming,55519,379651,0.146236939,17,90,0.18888888899999998,54263,390268,0.139040352,22,116,0.18965517199999998,51494,393326,0.13091939,27,101,0.267326733,50704,401718,0.126217894,30,124,0.24193548399999998,51008,410174,0.12435698,18,111,0.162162162,52337,425022,0.12313950800000001,29,131,0.22137404600000002,52415,430554,0.121738504,30,132,0.22727272699999998
