state,vet_pop_2005,overall_pop_18_2005,vet_pop_p_2005,vet_suicides_2005,all_suicides_2005,vet_suicides_p_2005,vet_pop_2006,overall_pop_18_2006,vet_pop_p_2006,vet_suicides_2006,all_suicides_2006,vet_suicides_p_2006,vet_pop_2007,overall_pop_18_2007,vet_pop_p_2007,vet_suicides_2007,all_suicides_2007,vet_suicides_p_2007,vet_pop_2008,overall_pop_18_2008,vet_pop_p_2008,vet_suicides_2008,all_suicides_2008,vet_suicides_p_2008,vet_pop_2009,overall_pop_18_2009,vet_pop_p_2009,vet_suicides_2009,all_suicides_2009,vet_suicides_p_2009,vet_pop_2010,overall_pop_18_2010,vet_pop_p_2010,vet_suicides_2010,all_suicides_2010,vet_suicides_p_2010,vet_pop_2011,overall_pop_18_2011,vet_pop_p_2011,vet_suicides_2011,all_suicides_2011,vet_suicides_p_2011
Massachusetts,453249,4725900,0.095907446,51,480,0.10625,453873,4983228,0.091080119,30,450,0.066666667,437588,5011861,0.087310482,50,516,0.096899225,422508,5062590,0.083456887,48,509,0.094302554,414595,5153924,0.080442591,48,530,0.090566038,398252,5135613,0.07754712,75,598,0.12541806,386609,5177318,0.074673605,59,597,0.098827471
Michigan,782823,7347736,0.106539348,232,1108,0.209386282,765929,7613279,0.100604352,258,1139,0.226514486,749774,7616804,0.098436825,230,1131,0.203359859,720840,7603028,0.094809594,224,1180,0.189830508,706848,7614974,0.092823429,232,1169,0.198460222,692922,7538643,0.091916012,212,1263,0.167854315,671051,7579088,0.088539808,217,1274,0.17032967
Minnesota,407255,3759713,0.108320768,103,547,0.188299817,410003,3905954,0.104968722,113,554,0.203971119,405354,3935350,0.103003291,125,572,0.218531469,391485,3966540,0.098696849,110,596,0.184563758,381202,4004268,0.095198923,106,584,0.181506849,377976,4024747,0.093912984,91,606,0.150165017,366790,4065374,0.090222941,112,625,0.1792
Mississippi,226398,2070896,0.109323694,68,363,0.187327824,212612,2140412,0.099332278,65,325,0.2,214698,2140780,0.100289614,83,396,0.20959596,209831,2158203,0.097224867,81,409,0.19804401,203152,2171630,0.093548164,77,381,0.202099738,204156,2204874,0.092593046,76,388,0.195876289,201148,2215005,0.090811533,76,382,0.19895288
Missouri***,533517,4251339,0.125493874,180,727,0.247592847,526916,4403875,0.119648264,180,799,0.225281602,511821,4434377,0.115421174,180,808,0.222772277,508839,4469294,0.11385221,180,779,0.231065469,498159,4536263,0.109817045,180,860,0.209302326,495420,4555615,0.108749313,180,856,0.210280374,490162,4578570,0.107055696,180,873,0.206185567
Montana,100637,704193,0.142911105,59,206,0.286407767,102845,722684,0.142309779,54,189,0.285714286,102649,735059,0.139647294,53,196,0.270408163,100543,741354,0.13562077,50,203,0.246305419,96661,749212,0.129016887,48,219,0.219178082,95353,764891,0.124662207,68,227,0.299559471,94872,772072,0.122879731,55,224,0.245535714
Nebraska,154607,1270888,0.121652734,18,187,0.096256684,151844,1316899,0.115304211,5,202,0.024752475,149306,1320148,0.113097925,15,181,0.082872928,147482,1329791,0.11090615,21,191,0.109947644,147275,1342732,0.109683094,30,170,0.176470588,144695,1365316,0.105979129,21,193,0.10880829,146104,1377398,0.106072464,34,185,0.183783784
Nevada,233633,1757343,0.132946727,106,480,0.220833333,236901,1852592,0.127875431,107,486,0.220164609,233596,1892386,0.123439932,104,471,0.220806794,227277,1922260,0.118234266,131,528,0.248106061,218908,1947160,0.112424249,118,505,0.233663366,230314,2030027,0.113453663,124,547,0.226691042,228213,2049720,0.111338622,122,554,0.220216606
New Hampshire,129603,967192,0.133999247,37,162,0.228395062,130690,1015927,0.128641133,33,151,0.218543046,122646,1016155,0.120696154,42,158,0.265822785,121145,1021327,0.118615292,36,179,0.201117318,114796,1034119,0.111008501,28,166,0.168674699,114826,1029988,0.111482852,41,196,0.209183673,115297,1037312,0.111149779,33,203,0.162561576
New Jersey,546437,6358519,0.085937779,80,536,0.149253731,527080,6628089,0.079522167,93,585,0.158974359,497130,6615934,0.075141318,80,596,0.134228188,485053,6623050,0.073237104,77,615,0.125203252,464094,6646834,0.069821813,81,557,0.145421903,453498,6732067,0.067363857,94,719,0.130737135,444887,6771714,0.065697843,92,668,0.137724551
New Mexico,177687,1392242,0.127626519,80,342,0.233918129,176274,1436320,0.122726133,76,352,0.215909091,178400,1465336,0.121746821,96,401,0.239401496,171725,1473640,0.116531175,80,419,0.190930788,168545,1484782,0.113514981,85,376,0.22606383,178732,1539376,0.116106786,82,413,0.198547215,177041,1555130,0.113843216,83,423,0.196217494
New York,1098272,14119047,0.077786553,208,1189,0.174936922,1098766,14768694,0.074398318,216,1326,0.162895928,1041376,14857620,0.070090364,205,1396,0.146848138,1032622,15051925,0.068603983,224,1409,0.158977999,994358,15092255,0.065885317,192,1417,0.13549753,951890,15055513,0.063225345,214,1547,0.138332256,917741,15160932,0.060533284,244,1557,0.156711625
North Carolina,723831,6240503,0.115989208,225,1009,0.222993062,752508,6625708,0.113573976,200,1106,0.180831826,734260,6773333,0.108404533,229,1077,0.212627669,746259,6879572,0.108474626,238,1162,0.204819277,731015,6996408,0.10448433,249,1174,0.2120954,726084,7190151,0.100983137,222,1174,0.189097104,740470,7285172,0.101640703,207,1171,0.17677199
North Dakota**,58479,470198,0.12437101,24,92,0.260869565,57536,487103,0.118118755,18,90,0.2,55232,491391,0.112399291,27,95,0.284210526,54688,493281,0.110865815,14,86,0.162790698,52159,498949,0.104537738,14,90,0.155555556,52076,519829,0.100179097,24,106,0.226415094,55556,527822,0.105255181,25,104,0.240384615
Ohio,982418,8390951,0.11708065,282,1341,0.210290828,961616,8696516,0.110574855,251,1325,0.189433962,953338,8703442,0.109535745,275,1295,0.212355212,926863,8740001,0.106048386,264,1412,0.186968839,897333,8813009,0.10181914,243,1176,0.206632653,892782,8803836,0.101408295,268,1439,0.186240445,876163,8842889,0.099081081,270,1274,0.211930926
Oklahoma,341464,2572747,0.132723505,109,522,0.208812261,333358,2668872,0.124905953,113,537,0.210428305,325423,2694837,0.120757953,112,531,0.210922787,316987,2713979,0.116797882,145,575,0.252173913,313711,2741064,0.114448623,122,567,0.215167549,323461,2810612,0.115085611,131,618,0.21197411,319724,2837898,0.112662259,141,637,0.221350078
Oregon,350365,2709927,0.129289461,154,560,0.275,350730,2839640,0.123512135,143,579,0.246977547,348422,2881297,0.120925403,157,594,0.264309764,349013,2919847,0.119531263,140,572,0.244755245,343557,2948094,0.116535294,145,644,0.22515528,331584,2969208,0.111674224,151,685,0.220437956,319194,3007303,0.106139621,150,683,0.219619327
Pennsylvania,1088379,9169767,0.118692111,336,1430,0.234965035,1073558,9625288,0.111535156,309,1396,0.221346705,1044143,9636871,0.108348758,324,1441,0.224843858,1023082,9671561,0.10578251,333,1539,0.216374269,988006,9817894,0.100633191,292,1631,0.179031269,981646,9917938,0.098976824,285,1576,0.180837563,954659,9976032,0.095695262,285,1574,0.181067344
Rhode Island,88971,785844,0.113217127,15,71,0.211267606,82129,827561,0.099242231,21,90,0.233333333,80703,820384,0.098372226,16,96,0.166666667,82464,815584,0.10111037,16,110,0.145454545,75328,822465,0.091588092,22,118,0.186440678,72835,825652,0.088215132,20,129,0.15503876,71863,829243,0.086660967,18,127,0.141732283
South Carolina,400152,3077479,0.130025908,96,510,0.188235294,398128,3252620,0.122402248,118,524,0.22519084,396961,3316277,0.119700797,123,530,0.232075472,391275,3375008,0.115933059,137,565,0.242477876,385544,3441651,0.11202298,143,619,0.231017771,409008,3521443,0.116147841,132,637,0.20722135,398985,3563610,0.111960905,158,645,0.24496124
South Dakota,67985,557930,0.121852204,29,121,0.239669421,73535,585507,0.125592008,26,125,0.208,75167,597885,0.125721502,21,102,0.205882353,70852,601688,0.117755382,20,124,0.161290323,68313,609906,0.112005784,33,129,0.255813953,69780,610858,0.114232768,21,140,0.15,70027,618454,0.113229116,25,123,0.203252033
Tennessee,509881,4412551,0.115552432,183,856,0.213785047,502295,4578718,0.109702104,150,874,0.171624714,510068,4669784,0.109227322,182,844,0.21563981,503323,4720255,0.106630468,176,973,0.180883864,502280,4782812,0.105017718,196,947,0.206969377,487899,4846847,0.100663173,155,943,0.164369035,486407,4896267,0.099342417,190,941,0.201912859
Texas,1612948,15899260,0.101447992,509,2418,0.210504549,1660455,16924145,0.098111603,454,2347,0.193438432,1613252,17190551,0.093845276,434,2433,0.1783806,1603981,17493335,0.091690978,454,2552,0.177899687,1581873,17785992,0.088939262,492,2809,0.175151299,1609732,18268116,0.088117023,535,2891,0.185057074,1593072,18617868,0.085566833,527,2889,0.182416061
Utah,143301,1683956,0.085097829,49,348,0.140804598,154774,1753636,0.088258909,63,362,0.174033149,155573,1821224,0.085422222,68,378,0.17989418,146547,1875269,0.078147188,55,390,0.141025641,149221,1906017,0.078289438,79,449,0.175946548,152839,1898882,0.08048894,75,473,0.158562368,146806,1930847,0.076031918,71,468,0.151709402
Vermont,57633,469021,0.122879359,10,78,0.128205128,55512,489177,0.113480397,16,81,0.197530864,55351,489141,0.1131596,19,89,0.213483146,53175,491776,0.108128498,15,94,0.159574468,51899,494457,0.104961604,7,87,0.08045977,48498,495796,0.097818458,15,106,0.141509434,51373,499809,0.102785264,18,124,0.14516129
Virginia,757224,5442170,0.139140086,206,866,0.237875289,771782,5732436,0.134634211,178,876,0.203196347,757595,5779184,0.131090306,178,880,0.202272727,720855,5812063,0.124027389,203,948,0.214135021,728528,5913691,0.123193451,198,963,0.205607477,742131,6056442,0.122535806,188,963,0.195223261,734757,6137315,0.119719617,197,981,0.200815494
Washington,628595,4633815,0.135653883,225,822,0.273722628,629296,4827071,0.130368084,200,809,0.247218789,622263,4888868,0.127281612,229,865,0.264739884,606459,4942947,0.122691787,238,889,0.267716535,585202,5035212,0.116221919,249,921,0.270358306,592322,5112364,0.115860686,222,957,0.231974922,597778,5194460,0.115079912,207,955,0.216753927
West Virginia,175697,1389726,0.126425641,73,255,0.28627451,178121,1426759,0.124843088,56,269,0.208178439,171036,1423318,0.120167103,67,300,0.223333333,171744,1426761,0.120373349,58,261,0.222222222,156260,1433007,0.109043431,66,253,0.260869565,163476,1465012,0.111586799,72,279,0.258064516,155581,1467977,0.105983268,70,277,0.252707581
Wisconsin,444679,4080095,0.108987413,136,643,0.211508554,447851,4237883,0.105678,138,670,0.205970149,450802,4277566,0.105387503,128,729,0.17558299,438533,4310254,0.1017418,131,743,0.176312248,430296,4343001,0.099078034,134,724,0.185082873,420641,4351489,0.096665992,169,793,0.213114754,413735,4383985,0.094374182,167,791,0.211125158
Wyoming,55519,379651,0.146236939,17,90,0.188888889,54263,390268,0.139040352,22,116,0.189655172,51494,393326,0.13091939,27,101,0.267326733,50704,401718,0.126217894,30,124,0.241935484,51008,410174,0.12435698,18,111,0.162162162,52337,425022,0.123139508,29,131,0.221374046,52415,430554,0.121738504,30,132,0.227272727
